id,date,season,player,team,runs_scored,balls_faced,strike_rate,fours,sixes,boundary_pct,dot_ball_pct,dismissed,runs_conceded,balls_bowled,wickets,economy,bowling_sr,dot_ball_bowl_pct
548341,2012-04-26,2012,A Ashish Reddy,2.0,0,0,,0,0,,,0,32,24,2,8.0,12.0,0.25
548346,2012-04-29,2012,A Ashish Reddy,2.0,10,10,100.0,0,1,0.6,0.6,1,11,14,1,4.714285714285714,14.0,0.5714285714285714
548348,2012-05-01,2012,A Ashish Reddy,2.0,0,0,,0,0,,,0,32,19,1,10.105263157894738,19.0,0.15789473684210525
548352,2012-05-04,2012,A Ashish Reddy,2.0,3,3,100.0,0,0,0.0,0.3333333333333333,1,16,13,1,7.384615384615385,13.0,0.23076923076923078
548356,2012-05-06,2012,A Ashish Reddy,2.0,0,0,,0,0,,,0,36,25,1,8.639999999999999,25.0,0.44
548359,2012-05-08,2012,A Ashish Reddy,2.0,8,8,100.0,1,0,0.5,0.375,1,40,25,2,9.6,12.5,0.28
548329,2012-05-10,2012,A Ashish Reddy,2.0,0,0,,0,0,,,0,29,12,0,14.5,,0.25
548373,2012-05-18,2012,A Ashish Reddy,2.0,10,4,250.0,2,0,0.8,0.25,0,17,12,0,8.5,,0.3333333333333333
548376,2012-05-20,2012,A Ashish Reddy,2.0,4,5,80.0,0,0,0.0,0.4,1,25,25,3,6.0,8.333333333333334,0.4
598000,2013-04-05,2013,A Ashish Reddy,2.0,7,4,175.0,1,0,0.5714285714285714,0.0,0,21,12,1,10.5,12.0,0.16666666666666666
598004,2013-04-07,2013,A Ashish Reddy,2.0,14,12,116.66666666666667,0,1,0.42857142857142855,0.3333333333333333,1,7,6,1,7.0,6.0,0.3333333333333333
598048,2013-04-09,2013,A Ashish Reddy,2.0,3,4,75.0,0,0,0.0,0.25,1,13,6,0,13.0,,0.16666666666666666
598010,2013-04-12,2013,A Ashish Reddy,2.0,16,9,177.77777777777777,2,0,0.5,0.1111111111111111,1,0,0,0,,,
598013,2013-04-14,2013,A Ashish Reddy,2.0,4,5,80.0,0,0,0.0,0.4,1,15,12,1,7.5,12.0,0.3333333333333333
598018,2013-04-17,2013,A Ashish Reddy,2.0,19,15,126.66666666666666,0,1,0.3157894736842105,0.13333333333333333,0,0,0,0,,,
598021,2013-04-19,2013,A Ashish Reddy,2.0,7,7,100.0,1,0,0.5714285714285714,0.42857142857142855,0,0,0,0,,,
598030,2013-04-25,2013,A Ashish Reddy,2.0,36,16,225.0,2,3,0.7222222222222222,0.25,0,15,5,0,18.0,,0.2
598032,2013-04-27,2013,A Ashish Reddy,2.0,14,11,127.27272727272727,1,0,0.2857142857142857,0.2727272727272727,1,0,0,0,,,
598044,2013-05-04,2013,A Ashish Reddy,2.0,5,7,71.42857142857143,1,0,0.8,0.7142857142857143,1,0,0,0,,,
829719,2015-04-13,2015,A Ashish Reddy,2.0,0,0,,0,0,,,0,11,6,1,11.0,6.0,0.3333333333333333
829727,2015-04-16,2015,A Ashish Reddy,2.0,13,9,144.44444444444443,0,1,0.46153846153846156,0.2222222222222222,0,5,6,0,5.0,,0.3333333333333333
829731,2015-04-18,2015,A Ashish Reddy,2.0,15,8,187.5,1,1,0.6666666666666666,0.25,1,16,13,1,7.384615384615385,13.0,0.23076923076923078
829759,2015-04-27,2015,A Ashish Reddy,2.0,22,8,275.0,1,2,0.7272727272727273,0.0,0,0,0,0,,,
829773,2015-05-02,2015,A Ashish Reddy,2.0,6,6,100.0,1,0,0.6666666666666666,0.5,1,19,12,2,9.5,6.0,0.16666666666666666
829815,2015-05-17,2015,A Ashish Reddy,2.0,17,15,113.33333333333333,0,1,0.35294117647058826,0.4,1,0,0,0,,,
980907,2016-04-12,2016,A Ashish Reddy,2.0,32,18,177.77777777777777,2,3,0.8125,0.3888888888888889,1,26,11,0,14.181818181818182,,0.09090909090909091
980915,2016-04-16,2016,A Ashish Reddy,2.0,13,9,144.44444444444443,0,1,0.46153846153846156,0.2222222222222222,1,14,12,1,7.0,12.0,0.3333333333333333
980953,2016-04-30,2016,A Ashish Reddy,2.0,2,3,66.66666666666666,0,0,0.0,0.3333333333333333,0,0,0,0,,,
1304050,2022-03-28,2022,A Badoni,614.0,54,42,128.57142857142858,4,3,0.6296296296296297,0.38095238095238093,1,0,0,0,,,
1304053,2022-03-31,2022,A Badoni,614.0,19,14,135.71428571428572,0,2,0.631578947368421,0.5,0,0,0,0,,,
1304058,2022-04-04,2022,A Badoni,614.0,19,13,146.15384615384613,3,0,0.631578947368421,0.3076923076923077,1,0,0,0,,,
1304061,2022-04-07,2022,A Badoni,614.0,10,3,333.33333333333337,1,1,1.0,0.3333333333333333,0,0,0,0,,,
1304066,2022-04-10,2022,A Badoni,614.0,5,7,71.42857142857143,0,0,0.0,0.2857142857142857,1,0,0,0,,,
1304077,2022-04-19,2022,A Badoni,614.0,13,13,100.0,2,0,0.6153846153846154,0.5384615384615384,1,0,0,0,,,
1304083,2022-04-24,2022,A Badoni,614.0,14,11,127.27272727272727,0,1,0.42857142857142855,0.2727272727272727,1,6,6,1,6.0,6.0,0.16666666666666666
1304088,2022-04-29,2022,A Badoni,614.0,4,4,100.0,0,0,0.0,0.5,1,0,0,0,,,
1304099,2022-05-07,2022,A Badoni,614.0,15,19,78.94736842105263,0,0,0.0,0.3684210526315789,0,0,0,0,,,
1304103,2022-05-10,2022,A Badoni,614.0,8,12,66.66666666666666,1,0,0.5,0.5833333333333334,1,0,0,0,,,
1304109,2022-05-15,2022,A Badoni,614.0,0,1,0.0,0,0,,1.0,1,6,6,1,6.0,6.0,0.3333333333333333
1359477,2023-04-01,2023,A Badoni,614.0,18,9,200.0,1,2,0.8888888888888888,0.4444444444444444,1,0,0,0,,,
1359480,2023-04-03,2023,A Badoni,614.0,23,19,121.05263157894737,0,0,0.0,0.15789473684210525,1,0,0,0,,,
1359489,2023-04-10,2023,A Badoni,614.0,30,29,103.44827586206897,4,0,0.5333333333333333,0.41379310344827586,1,0,0,0,,,
1359495,2023-04-15,2023,A Badoni,614.0,5,7,71.42857142857143,0,0,0.0,0.42857142857142855,0,0,0,0,,,
1359500,2023-04-19,2023,A Badoni,614.0,1,4,25.0,0,0,0.0,0.75,1,0,0,0,,,
1359504,2023-04-22,2023,A Badoni,614.0,8,6,133.33333333333331,0,0,0.0,0.0,1,0,0,0,,,
1359512,2023-04-28,2023,A Badoni,614.0,43,25,172.0,3,3,0.6976744186046512,0.32,1,0,1,0,0.0,,1.0
1359517,2023-05-01,2023,A Badoni,614.0,4,11,36.36363636363637,0,0,0.0,0.6363636363636364,1,0,0,0,,,
1359519,2023-05-03,2023,A Badoni,614.0,59,35,168.57142857142858,2,4,0.5423728813559322,0.2857142857142857,0,0,0,0,,,
1359525,2023-05-07,2023,A Badoni,614.0,21,12,175.0,1,2,0.7619047619047619,0.4166666666666667,1,0,0,0,,,
1359542,2023-05-20,2023,A Badoni,614.0,25,22,113.63636363636364,2,1,0.56,0.4090909090909091,1,0,0,0,,,
1370351,2023-05-24,2023,A Badoni,614.0,1,7,14.285714285714285,0,0,0.0,0.8571428571428571,1,0,0,0,,,
1422122,2024-03-24,2024,A Badoni,614.0,1,5,20.0,0,0,0.0,0.8,1,6,6,0,6.0,,0.16666666666666666
1422129,2024-03-30,2024,A Badoni,614.0,8,10,80.0,0,0,0.0,0.3,1,0,0,0,,,
1422133,2024-04-02,2024,A Badoni,614.0,0,3,0.0,0,0,,1.0,1,0,0,0,,,
1422139,2024-04-07,2024,A Badoni,614.0,20,12,166.66666666666669,3,0,0.6,0.16666666666666666,1,0,0,0,,,
1426264,2024-04-12,2024,A Badoni,614.0,55,38,144.73684210526315,5,1,0.4727272727272727,0.2631578947368421,0,0,0,0,,,
1426266,2024-04-14,2024,A Badoni,614.0,29,27,107.40740740740742,2,1,0.4827586206896552,0.3333333333333333,1,0,0,0,,,
1426282,2024-04-27,2024,A Badoni,614.0,18,15,120.0,1,0,0.2222222222222222,0.26666666666666666,0,0,0,0,,,
1426286,2024-04-30,2024,A Badoni,614.0,6,6,100.0,1,0,0.6666666666666666,0.5,1,0,0,0,,,
1426292,2024-05-05,2024,A Badoni,614.0,15,13,115.38461538461537,0,1,0.4,0.3076923076923077,1,0,0,0,,,
1426295,2024-05-08,2024,A Badoni,614.0,55,32,171.875,9,0,0.6545454545454545,0.21875,0,19,6,0,19.0,,0.0
1426302,2024-05-14,2024,A Badoni,614.0,6,9,66.66666666666666,0,0,0.0,0.5555555555555556,1,0,0,0,,,
1426305,2024-05-17,2024,A Badoni,614.0,22,10,220.00000000000003,1,2,0.7272727272727273,0.2,0,0,0,0,,,
1473441,2025-03-24,2025,A Badoni,614.0,4,5,80.0,0,0,0.0,0.2,1,0,0,0,,,
1473444,2025-03-27,2025,A Badoni,614.0,6,6,100.0,1,0,0.6666666666666666,0.5,1,0,0,0,,,
1473450,2025-04-01,2025,A Badoni,614.0,41,35,117.14285714285715,1,3,0.5365853658536586,0.37142857142857144,1,0,0,0,,,
1473453,2025-04-04,2025,A Badoni,614.0,30,20,150.0,4,0,0.5333333333333333,0.3,1,0,0,0,,,
1473463,2025-04-12,2025,A Badoni,614.0,28,21,133.33333333333331,2,1,0.5,0.2857142857142857,0,0,0,0,,,
1473467,2025-04-14,2025,A Badoni,614.0,22,18,122.22222222222223,1,2,0.7272727272727273,0.5,1,0,0,0,,,
1473473,2025-04-19,2025,A Badoni,614.0,50,37,135.13513513513513,5,1,0.52,0.2972972972972973,1,0,0,0,,,
1473477,2025-04-22,2025,A Badoni,614.0,36,21,171.42857142857142,6,0,0.6666666666666666,0.2857142857142857,1,0,0,0,,,
