player,matches_played,total_runs,total_balls_faced,total_dismissals,total_fours,total_sixes,total_wickets,total_runs_conceded,total_balls_bowled,batting_avg,batting_sr,boundary_pct,avg_runs_per_match,bowling_avg,bowling_econ,bowling_sr,ipl_experience
A Ashish Reddy,28,280,196,15,16,15,19,400,270,18.666666666666668,142.85714285714286,0.55,10.0,21.05263157894737,8.88888888888889,14.210526315789474,28
A Badoni,48,963,740,36,73,38,4,50,35,26.75,130.13513513513513,0.5399792315680166,20.0625,12.5,8.571428571428571,8.75,48
A Chandila,12,4,7,0,0,0,11,245,234,,57.14285714285714,0.0,0.3333333333333333,22.272727272727273,6.282051282051282,21.272727272727273,12
A Chopra,6,53,75,6,7,0,0,0,0,8.833333333333334,70.66666666666667,0.5283018867924528,8.833333333333334,,,,6
A Choudhary,5,25,20,1,1,1,5,144,108,25.0,125.0,0.4,5.0,28.8,8.0,21.6,5
A Dananjaya,1,4,5,0,0,0,0,47,25,,80.0,0.0,4.0,,11.28,,1
A Flintoff,3,62,57,2,5,2,2,106,66,31.0,108.77192982456141,0.5161290322580645,20.666666666666668,53.0,9.636363636363637,33.0,3
A Kamboj,11,16,15,2,2,0,10,288,198,8.0,106.66666666666667,0.5,1.4545454545454546,28.8,8.727272727272727,19.8,11
A Kumble,42,35,49,3,3,0,49,1089,983,11.666666666666666,71.42857142857143,0.34285714285714286,0.8333333333333334,22.224489795918366,6.646998982706002,20.06122448979592,42
A Manohar,20,292,243,19,23,14,0,0,0,15.368421052631579,120.16460905349795,0.6027397260273972,14.6,,,,20
A Mhatre,7,240,131,7,31,11,0,0,0,34.285714285714285,183.206106870229,0.7916666666666666,34.285714285714285,,,,7
A Mishra,162,381,440,30,31,5,183,4193,3444,12.7,86.5909090909091,0.4041994750656168,2.3518518518518516,22.91256830601093,7.304878048780488,18.81967213114754,162
A Mithun,16,34,26,5,4,1,8,477,312,6.8,130.76923076923077,0.6470588235294118,2.125,59.625,9.173076923076923,39.0,16
A Mukund,2,19,23,2,1,0,0,0,0,9.5,82.6086956521739,0.21052631578947367,9.5,,,,2
A Nehra,88,41,63,7,3,1,121,2537,1974,5.857142857142857,65.07936507936508,0.43902439024390244,0.4659090909090909,20.96694214876033,7.711246200607903,16.31404958677686,88
A Nel,1,0,0,0,0,0,1,31,18,,,,0.0,31.0,10.333333333333334,18.0,1
A Nortje,48,49,51,6,6,0,63,1701,1142,8.166666666666666,96.07843137254902,0.4897959183673469,1.0208333333333333,27.0,8.936952714535902,18.126984126984127,48
A Raghuvanshi,18,463,326,16,46,16,0,0,0,28.9375,142.0245398773006,0.6047516198704104,25.72222222222222,,,,18
A Singh,23,2,10,4,0,0,31,639,486,0.5,20.0,0.0,0.08695652173913043,20.612903225806452,7.888888888888889,15.67741935483871,23
A Symonds,36,974,781,27,74,41,23,694,540,36.074074074074076,124.71190781049937,0.5564681724845996,27.055555555555557,30.17391304347826,7.711111111111111,23.47826086956522,36
A Tomar,1,4,8,1,1,0,0,0,0,4.0,50.0,1.0,4.0,,,,1
A Uniyal,2,4,7,1,0,0,3,67,38,4.0,57.14285714285714,0.0,2.0,22.333333333333332,10.578947368421053,12.666666666666666,2
A Zampa,22,15,25,5,1,0,32,656,475,3.0,60.0,0.26666666666666666,0.6818181818181818,20.5,8.286315789473683,14.84375,22
AA Bilakhia,7,69,88,5,5,0,0,0,0,13.8,78.4090909090909,0.2898550724637681,9.857142857142858,,,,7
AA Chavan,13,12,11,2,2,0,8,339,255,6.0,109.09090909090908,0.6666666666666666,0.9230769230769231,42.375,7.976470588235294,31.875,13
AA Jhunjhunwala,18,217,218,13,19,5,1,130,88,16.692307692307693,99.54128440366972,0.48847926267281105,12.055555555555555,130.0,8.863636363636363,88.0,18
AA Kazi,1,0,0,0,0,0,1,21,13,,,,0.0,21.0,9.692307692307693,13.0,1
AA Kulkarni,2,9,8,2,2,0,0,0,0,4.5,112.5,0.8888888888888888,4.5,,,,2
AA Noffke,1,9,12,1,1,0,1,41,25,9.0,75.0,0.4444444444444444,9.0,41.0,9.84,25.0,1
AB Agarkar,42,179,160,9,13,5,33,1174,820,19.88888888888889,111.87499999999999,0.4581005586592179,4.261904761904762,35.57575757575758,8.590243902439026,24.848484848484848,42
AB Barath,3,42,43,2,5,1,0,0,0,21.0,97.67441860465115,0.6190476190476191,14.0,,,,3
AB Dinda,76,26,50,10,2,0,82,2103,1589,2.6,52.0,0.3076923076923077,0.34210526315789475,25.646341463414632,7.940843297671492,19.378048780487806,76
AB McDonald,10,123,103,5,9,4,14,263,188,24.6,119.41747572815532,0.4878048780487805,12.3,18.785714285714285,8.393617021276595,13.428571428571429,10
AB de Villiers,170,5181,3487,130,414,253,0,0,0,39.853846153846156,148.58044164037855,0.6126230457440649,30.476470588235294,,,,170
AC Blizzard,7,120,91,7,21,2,0,0,0,17.142857142857142,131.86813186813185,0.8,17.142857142857142,,,,7
AC Gilchrist,80,2069,1555,76,239,92,1,0,1,27.223684210526315,133.05466237942122,0.7288545190913485,25.8625,0.0,0.0,1.0,80
AC Thomas,15,20,19,2,1,1,16,416,327,10.0,105.26315789473684,0.5,1.3333333333333333,26.0,7.63302752293578,20.4375,15
AC Voges,8,181,143,4,15,3,1,76,56,45.25,126.57342657342659,0.430939226519337,22.625,76.0,8.142857142857142,56.0,8
AD Hales,6,148,119,6,13,6,0,0,0,24.666666666666668,124.36974789915966,0.5945945945945946,24.666666666666668,,,,6
