iter	Logloss
0	0.6900933037
1	0.6886374994
2	0.6865954715
3	0.6845706451
4	0.6823871972
5	0.6803912319
6	0.6779482094
7	0.6757575471
8	0.6746002242
9	0.6718967917
10	0.6701496265
11	0.668504563
12	0.666223114
13	0.6653654879
14	0.6638588804
15	0.6624851018
16	0.6615850472
17	0.6601973091
18	0.6583674822
19	0.6571427476
20	0.655663137
21	0.6542191095
22	0.6524939308
23	0.6513716575
24	0.6502643442
25	0.6489770054
26	0.6469630898
27	0.6455362511
28	0.6438166536
29	0.6420990539
30	0.641296449
31	0.6400826202
32	0.6389019965
33	0.6381829761
34	0.6364444984
35	0.635186918
36	0.6343916346
37	0.6332003781
38	0.6312261503
39	0.6292669119
40	0.6280262789
41	0.6257776387
42	0.6241417569
43	0.6227464674
44	0.6212875187
45	0.6201249461
46	0.6193381059
47	0.6176405565
48	0.6163753159
49	0.6145859828
50	0.6131453232
51	0.6116997002
52	0.6100985087
53	0.6090608623
54	0.6084337059
55	0.6073336111
56	0.6066558133
57	0.6052033509
58	0.6039725686
59	0.6026429281
60	0.6019044251
61	0.6007347951
62	0.5992109704
63	0.598019803
64	0.5968597443
65	0.5953605884
66	0.5942386907
67	0.5931204405
68	0.5920395567
69	0.5905692453
70	0.5894894472
71	0.5884012991
72	0.5872384055
73	0.5857630859
74	0.5846843541
75	0.5835327778
76	0.5824551977
77	0.5814324576
78	0.5801855672
79	0.5792658179
80	0.5780827747
81	0.5769237919
82	0.5763584267
83	0.5748264455
84	0.5736336673
85	0.572236935
86	0.5712518828
87	0.57100054
88	0.5697507404
89	0.5681645913
90	0.5677121056
91	0.5665388798
92	0.5648573689
93	0.5641636718
94	0.5637534958
95	0.5627217384
96	0.5615441768
97	0.5599712431
98	0.5590142397
99	0.5578233589
100	0.5566316884
101	0.5555500277
102	0.5546750391
103	0.5539493438
104	0.553482143
105	0.5521846328
106	0.5516452916
107	0.5500035054
108	0.549295602
109	0.5488089371
110	0.5479987144
111	0.5467920804
112	0.5463987881
113	0.5447803199
114	0.5442741118
115	0.5434784576
116	0.5426228984
117	0.5413934843
118	0.5400372031
119	0.5390741407
120	0.5382010146
121	0.5370811259
122	0.5359727491
123	0.5339109603
124	0.5333313594
125	0.5323259288
126	0.5317925116
127	0.5310067171
128	0.529960719
129	0.5292945899
130	0.5280200074
131	0.5273415163
132	0.5265085281
133	0.5258838927
134	0.5252756124
135	0.5245666318
136	0.5233300845
137	0.52204485
138	0.5211181431
139	0.5195087214
140	0.5183823582
141	0.5171996796
142	0.515782426
143	0.5147738166
144	0.5134861729
145	0.5124308599
146	0.5116357343
147	0.5107435529
148	0.5093783215
149	0.5088073418
150	0.5078304124
151	0.5072173714
152	0.506603035
153	0.5056175874
154	0.5045742246
155	0.5034354815
156	0.502368061
157	0.5010484359
158	0.5007813203
159	0.4997034439
160	0.4986951173
161	0.4974504837
162	0.496583217
163	0.4952714702
164	0.4943289285
165	0.4935873517
166	0.4928591092
167	0.4917705863
168	0.4906024525
169	0.4902127302
170	0.4891728551
171	0.4883055977
172	0.4874709407
173	0.4862542935
174	0.4851456218
175	0.4845738108
176	0.4833102523
177	0.4827772761
178	0.4817390478
179	0.4810738822
180	0.47887124
181	0.4782129938
182	0.4778461816
183	0.4766068664
184	0.4754733137
185	0.4740377228
186	0.4728733344
187	0.471818962
188	0.47089189
189	0.4699050262
190	0.4685663608
191	0.4673267919
192	0.4661624043
193	0.4649009007
194	0.4641801478
195	0.4632206767
196	0.4619038559
197	0.4606334227
198	0.4594409527
199	0.4586143501
200	0.4578151329
201	0.456289729
202	0.4554771625
203	0.4546947324
204	0.453910686
205	0.4528403496
206	0.4508249164
207	0.4491627789
208	0.4483784508
209	0.4466527072
210	0.4457490193
211	0.4440960431
212	0.4435929671
213	0.4426733223
214	0.4417496395
215	0.4408930825
216	0.4400278234
217	0.4387982602
218	0.4380939056
219	0.4374934416
220	0.4364266232
221	0.4357495427
222	0.4345100589
